Time,Dist8_0,Dist12_0,Dist16_0,Dist20_0
6.476151,0.07360695,0.06698219,0.06104823,0.06487722
6.489183,0.07342383,0.06679619,0.06081669,0.06456309
6.503233,0.07325377,0.06662083,0.06058842,0.06424608
6.518556,0.07310086,0.06645072,0.06035871,0.0639217
6.531378,0.07304649,0.06634793,0.06019332,0.06366105
6.54775,0.07300285,0.06624831,0.06002501,0.06339066
6.560655,0.07299248,0.0662014,0.05991691,0.06317352
6.573724,0.07300175,0.06615879,0.0598081,0.06295002
6.586763,0.07301787,0.06614245,0.05973875,0.06278335
6.600789,0.07304166,0.06613041,0.0596715,0.06261691
6.614746,0.07307087,0.06612145,0.05960514,0.06244978
6.627837,0.07310289,0.06612571,0.05954442,0.06229693
6.643045,0.07313874,0.06613256,0.05948377,0.06214285
6.656638,0.07316787,0.06614181,0.05944728,0.06202283
6.670693,0.07319777,0.06615191,0.05941388,0.06190507
6.685884,0.07322888,0.06616279,0.05938149,0.06178749
6.700161,0.07324237,0.06617388,0.05934792,0.06165435
6.713671,0.07325581,0.06619021,0.05931206,0.06151897
6.727237,0.07325681,0.0662006,0.05926677,0.06137931
6.74229,0.07325677,0.06621343,0.05921755,0.06123804
6.759381,0.07325099,0.06621952,0.05916011,0.06109663
6.768723,0.07324422,0.06622187,0.05909891,0.06095495
6.782961,0.07323664,0.06622054,0.05903526,0.06081331
6.795815,0.0732294,0.06620759,0.05896765,0.06068113
6.809926,0.07322077,0.06619029,0.05889921,0.06055034
6.823273,0.07320982,0.06617386,0.05882849,0.06041798
6.837906,0.07319737,0.06615652,0.05875819,0.06028708
6.851826,0.07318354,0.06613868,0.05868805,0.06015645
6.864945,0.0731661,0.06607966,0.05860195,0.06004001
6.880236,0.07314703,0.06601582,0.05851375,0.0599248
6.892737,0.0731281,0.06595812,0.05843904,0.05983269
6.907057,0.07310867,0.06589942,0.05836561,0.05974338
6.921166,0.07309535,0.06586171,0.05829901,0.05964281
6.935581,0.07308351,0.06582805,0.05823432,0.0595411
6.950223,0.0730729,0.06579769,0.05817105,0.05943842
6.964962,0.07306885,0.0657955,0.05814245,0.05936905
6.97697,0.07306618,0.06579943,0.05811827,0.05930296
6.989805,0.07306688,0.06582451,0.05811509,0.05926029
7.004218,0.0730687,0.06585737,0.05811656,0.05922236
7.018959,0.07307144,0.06589684,0.0581214,0.05918751
7.031947,0.07306989,0.06597009,0.05816702,0.05922085
7.046081,0.07307368,0.06605402,0.05822858,0.05925474
7.059572,0.07312666,0.06625592,0.05838223,0.05937763
7.073038,0.0732083,0.06649728,0.05857833,0.05955414
7.08879,0.07404988,0.06836892,0.0598759,0.0606617
7.103507,0.075484,0.07115808,0.06158647,0.06208545
7.11772,0.0774318,0.07458193,0.06350179,0.06361555
7.128747,0.08302361,0.07939047,0.068262,0.06924025
7.143541,0.08980412,0.08449546,0.07297411,0.07460845
7.157193,0.09930786,0.09362815,0.08111974,0.08138616
7.173187,0.108461,0.1025563,0.08992306,0.08891401
7.185596,0.1174232,0.1113094,0.09887663,0.09675126
7.198847,0.1226908,0.1210736,0.1099107,0.1067804
7.212431,0.1287442,0.130238,0.1202889,0.1162035
7.226313,0.1317113,0.137305,0.1287048,0.1227404
7.241324,0.1355134,0.1442286,0.1367435,0.1292003
7.25514,0.1383719,0.1482533,0.1422884,0.1330016
7.269628,0.141539,0.1526389,0.1478652,0.1370086
7.284006,0.1447883,0.1569919,0.1531325,0.1408165
7.296361,0.1474356,0.1593896,0.1545426,0.1419929
7.310669,0.1501561,0.1621737,0.156893,0.1438129
7.324558,0.1529883,0.1638211,0.1581945,0.1439268
7.338944,0.1556769,0.1657026,0.159875,0.144468
7.353866,0.1582469,0.1676557,0.1616727,0.1451801
7.366094,0.160159,0.1685286,0.1621309,0.145471
7.383138,0.1637516,0.1708412,0.1640753,0.1464597
7.395755,0.163752,0.1708424,0.1640762,0.1464594
7.410327,0.1644114,0.1715373,0.1647073,0.1465845
7.422498,0.1652505,0.1723111,0.1654491,0.1468406
7.435774,0.1656911,0.1730375,0.1661907,0.1470621
7.450017,0.1662476,0.1737968,0.1669638,0.1473343
7.463099,0.1666202,0.1748623,0.1680055,0.147713
7.478183,0.1670651,0.175947,0.1690265,0.1482088
7.491501,0.1677226,0.1772938,0.1701404,0.1488265
7.505728,0.1684301,0.1785726,0.1711725,0.1494652
7.519789,0.1691654,0.1797735,0.1721356,0.1500874
7.53205,0.1702929,0.1805544,0.1727882,0.1506482
7.546465,0.1714068,0.1813177,0.1733531,0.151219
7.559949,0.1721982,0.1818858,0.1737614,0.151646
7.573585,0.1729069,0.1824429,0.1741454,0.1520518
7.591862,0.1735389,0.1829844,0.1745126,0.1524383
7.602136,0.1738715,0.1833284,0.1747213,0.1526872
7.616883,0.1741832,0.1836726,0.1749358,0.1529349
7.629145,0.174381,0.1839644,0.1751172,0.1531347
7.644077,0.1745708,0.1842522,0.1753021,0.153335
7.657813,0.1746581,0.1844587,0.1754806,0.1535303
7.671166,0.1747814,0.1847104,0.1756965,0.1537643
7.685543,0.1748907,0.1849923,0.1759534,0.1540013
7.698771,0.1749944,0.1852566,0.1762004,0.1542219
7.713281,0.1750644,0.1854652,0.1763998,0.154399
7.726962,0.175133,0.185662,0.1765879,0.1545641
7.740394,0.1752003,0.1858502,0.1767677,0.1547203
7.755953,0.1752663,0.1860313,0.1769406,0.1548691
